Ticker;SimFinId;Currency;Fiscal Year;Fiscal Period;Report Date;Publish Date;Restated Date;Shares (Basic);Shares (Diluted);Net Income/Starting Line;Depreciation & Amortization;Non-Cash Items;Change in Working Capital;Change in Accounts Receivable;Change in Inventories;Change in Accounts Payable;Change in Other;Net Cash from Operating Activities;Change in Fixed Assets & Intangibles;Net Change in Long Term Investment;Net Cash from Acquisitions & Divestitures;Net Cash from Investing Activities;Dividends Paid;Cash from (Repayment of) Debt;Cash from (Repurchase of) Equity;Net Cash from Financing Activities;Net Change in Cash
ACCD;10384289;USD;2021;FY;2022-02-28;2022-05-02;2023-04-28;63823270;63823270;-123124000;42608000;26009000;-7843000;;;;;-62350000;-2521000;0;-259996000;-263613000;;287500000;13303000;257932000;-68031000
ACCD;10384289;USD;2022;FY;2023-02-28;2023-04-28;2023-04-28;71279831;71279831;-459650000;46377000;373710000;-1142000;;;;;-40705000;-2105000;;;-7228000;;;4991000;3163000;-44770000
ACCO;120923;USD;2018;FY;2018-12-31;2019-02-27;2021-04-12;104800000;107000000;106700000;70700000;34200000;-16800000;;;;;194800000;-33900000;;-38000000;-71900000;-25100000;-24200000;-68200000;-125600000;-9900000
ACCO;120923;USD;2019;FY;2019-12-31;2020-02-27;2022-02-23;99500000;101000000;106800000;70300000;22900000;3900001;;;;;203900001;-32299999;;-41300000;-79599999;-24400000;-70600000;-60800000;-163400000;-39199998
ACCO;120923;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;94900000;96100000;62000000;70700000;2600000;-16100000;;;;;119200000;-15300000;;-339400000;-354700000;-24600000;288800000;-14500000;244700000;8800000
ACCO;120923;USD;2021;FY;2021-12-31;2022-02-23;2024-02-23;95600000;97300000;101900000;85700000;22800000;-50800000;;;;;159600000;-21200000;;15400000;-5800000;-25800000;-102900000;3100000;-147200000;4600000
ACCO;120923;USD;2022;FY;2022-12-31;2023-02-24;2024-02-23;95300000;95300000;-13200000;79400000;90400000;-79000000;;;;;77600000;-9300000;;;-9300000;-28600000;16900000;-15100000;-48300000;21000000
ACEL;11795228;USD;2018;FY;2018-12-31;2019-02-13;2020-03-16;56250000;56250000;10803000;20782000;22169000;-9411000;;;;;44343000;-22073000;;-51394000;-73547000;;50349000;-2947000;46122000;16918000
ACEL;11795228;USD;2019;FY;2019-12-31;2020-03-16;2022-03-11;61848000;61848000;-36764000;26398000;68667000;-12736000;;;;;45565000;-20675000;;-100857000;-151532000;;125344000;3583000;139141000;33174000
ACEL;11795228;USD;2020;FY;2020-12-31;2021-03-11;2023-03-01;93471000;94280000;-410000;20969000;-7047000;-17217000;;;;;-3705000;-25367000;;-35769000;-61435000;;-10938000;91269000;74188000;9048000
ACEL;11795228;USD;2021;FY;2021-12-31;2022-03-11;2024-02-28;93781000;94638000;31559000;24636000;52454000;2106000;;;;;110755000;-28348000;;-6196000;-34544000;;-1350000;-7279000;-11876000;64335000
ACEL;11795228;USD;2022;FY;2022-12-31;2023-03-01;2024-02-28;90629000;91229000;74102000;29295000;15838000;-11236000;;;;;107999000;-45235000;;-144028000;-189263000;;194502000;-78636000;106591000;25327000
ACER;1053636;USD;2018;FY;2018-12-31;2019-03-07;2020-03-18;8555039;8555039;-21280891;27744;1318153;3347191;;;;;-16587803;-95627;;;-95627;;;42710359;42710359;26026929
ACER;1053636;USD;2019;FY;2019-12-31;2020-03-18;2021-03-01;10092179;10092179;-29417969;58282;2670433;-2817695;;;;;-29506949;-178967;;;-178967;;;92272;92272;-29593644
ACER;1053636;USD;2020;FY;2020-12-31;2021-03-01;2022-03-02;11121039;11121039;-22885449000;70814000;2705956000;3081264000;;;;;-17027415000;-10902000;;;-10902000;;;10159766000;10722245000;-6316072000
ACER;1053636;USD;2021;FY;2021-12-31;2022-03-02;2023-03-27;14268245;14268245;-15373993;70913;1718098;13450073;;;;;-134909;-54944;;;-54944;;4000000;3139047;7139047;6949194
ACER;1053636;USD;2022;FY;2022-12-31;2023-03-27;2023-03-27;16089019;16089019;-26237315;66035;3320124;-7400742;;;;;-30251898;-171170;;;-171170;;11856735;8909718;20041524;-10381544
ACET;1154966;USD;2018;FY;2018-12-31;2019-03-18;2021-03-12;3778164;3778164;-9299000;1222000;-2057000;-8046000;;;;;-18180000;-876000;-15182000;;-16058000;;;11046000;11046000;-23192000
ACET;1154966;USD;2019;FY;2019-12-31;2020-03-12;2021-03-12;4902381;4902381;-28138000;1238000;-1323000;341000;;;;;-27882000;-952000;-46979000;;-47931000;;;76945000;76945000;1132000
ACET;1154966;USD;2020;FY;2020-12-31;2021-03-12;2022-03-15;7319977;7319977;-36678000;1226000;7424000;-13524000;;;;;-41552000;-990000;52093000;64114000;115217000;;;460000;303000;73968000
ACET;1154966;USD;2021;FY;2021-12-31;2022-03-15;2023-03-15;31876016;31876016;-61999000;1538000;15466000;-6057000;;;;;-51052000;-13046000;10250000;;-2796000;;;242946000;242685000;188837000
ACET;1154966;USD;2022;FY;2022-12-31;2023-03-15;2024-03-19;41080286;41080286;-69790000;2575000;19706000;2744000;;;;;-44765000;-16782000;;;-16782000;;;45107000;41509000;-20038000
ACET_delisted;191612;USD;2018;FY;2018-06-30;2018-09-28;2018-09-28;35216000;35216000;-316121000;32812000;282648000;102467000;30182000;-22000;16729000;55578000;101806000;-7242000;-1039000;;-8281000;-6288000;-43181000;606000;-48863000;45194000
ACHC;445598;USD;2018;FY;2018-12-31;2019-03-01;2021-02-26;87288000;87288000;57488000;80342000;62116000;25995000;;;;;414080000;-253187000;;-18383000;-360964000;;-61658000;;-67330000;-37098000
ACHC;445598;USD;2019;FY;2019-12-31;2020-02-28;2022-03-01;87612000;87816000;53310000;87923000;61516000;-19320000;;;;;332904000;-220914000;;-44900000;-201141000;;-52984000;;-61627000;49025000
ACHC;445598;USD;2020;FY;2020-12-31;2021-02-26;2023-02-28;87875000;88595000;143191000;95256000;101273000;163124000;;;;;658807000;-224872000;;;-281839000;;-26076000;;-51499000;254505000
ACHC;445598;USD;2021;FY;2021-12-31;2022-03-01;2024-02-28;88962000;90889000;208203000;106717000;102807000;-43503000;;;;;374477000;-241318000;;-139015000;1013097000;;-1640904000;;-1636525000;-244884000
ACHC;445598;USD;2022;FY;2022-12-31;2023-02-28;2024-02-28;89680000;91555000;280033000;117769000;52121000;-69354000;;;;;380569000;-289075000;;-9507000;-305830000;;-113594000;;-110903000;-36164000
ACHR;11795330;USD;2020;FY;2020-12-31;2021-03-08;2022-03-14;240633554;240633554;-24800000;200000;500000;1300000;;;;;-22800000;-1900000;;;-1900000;;900000;50300000;51200000;26500000
ACHR;11795330;USD;2021;FY;2021-12-31;2022-03-14;2024-02-29;110836238;110836238;-347800000;1300000;238500000;-400000;;;;;-108400000;-3500000;;;-3500000;;620000000;600000;822200000;710300000
ACHR;11795330;USD;2022;FY;2022-12-31;2023-03-15;2024-02-29;240476894;240476894;-317300000;4400000;93300000;19200000;;;;;-200400000;-6900000;;;-464300000;;-10000000;100000;-9900000;-674600000
ACHV;12444293;USD;2018;FY;2018-12-31;2019-03-14;2021-03-11;175510;175510;-12687000;282000;854000;932000;;;;;-10619000;-36000;-5089000;;-5125000;;14793000;;19753000;4009000
ACHV;12444293;USD;2019;FY;2019-12-31;2020-03-13;2022-03-10;412320;412320;-16395000;254000;1198000;-283000;;;;;-15226000;-53000;5089000;;5036000;;17335000;;17335000;7149000
ACHV;12444293;USD;2020;FY;2020-12-31;2021-03-11;2023-03-16;2718909;2718909;-14730000;255000;1286000;-285000;;;;;-13474000;-17000;;;-17000;;27421000;;32680000;19189000
ACHV;12444293;USD;2021;FY;2021-12-31;2022-03-10;2024-03-28;8119836;8119836;-33152000;250000;2228000;1234000;;;;;-29440000;;;;;;36610000;;36610000;7169000
ACHV;12444293;USD;2022;FY;2022-12-31;2023-03-16;2024-03-28;10593034;10593034;-42350000;236000;3296000;1249000;;;;;-37569000;;;;;;17906000;1456000;19315000;-18251000
ACI;1077533;USD;2018;FY;2019-02-28;2019-04-24;2021-04-28;580500000;580700000;131100000;1738800000;-358200000;176200000;;;;;1687900000;-110600000;;;-119800000;;-1210000000;-25800000;-1281200000;286900000
ACI;1077533;USD;2019;FY;2020-02-29;2020-05-13;2022-04-26;579400000;580300000;466400000;1691300000;322099999;-575900000;;;;;1903899999;-378400000;;;-378500000;;-1911900000;;-2014200000;-488800001
ACI;1077533;USD;2020;FY;2021-02-28;2021-04-28;2023-04-25;500300000;578100000;850200000;1536900000;431800000;1083600000;;;;;3902500000;-1468600000;;-97900000;-1572000000;-159700000;-432600000;-1881200000;-1041800000;1288700000
ACI;1077533;USD;2021;FY;2022-02-28;2022-04-26;2023-04-25;479026753;479026753;1619600000;1681300000;887100000;-674600000;;;;;3513400000;-1554600000;;-25400000;-1538900000;-322000000;-408900000;;-789500000;1185000000
ACI;1077533;USD;2022;FY;2023-02-28;2023-04-25;2023-04-25;529000000;534000000;1513500000;1807100000;885700000;-1352400000;;;;;2853900000;-1958700000;;;-1977300000;-4237300000;927600000;;-3365400000;-2488800000
ACIA;353923;USD;2018;FY;2018-12-31;2019-02-21;2021-03-01;40259000;41997000;4916000;13646000;31927000;32596000;;;;;83085000;-14660000;-41518000;;-56237000;;;5813000;-33899000;-7051000
ACIA;353923;USD;2019;FY;2019-12-31;2020-04-29;2021-03-01;40883000;42554000;32839000;12559000;24700000;2721000;;;;;72819000;-11837000;-91740000;;-103579000;;;6933000;6933000;-23827000
ACIA;353923;USD;2020;FY;2020-12-31;2021-03-01;2021-03-01;41938000;43233000;90391000;11070000;41737000;-12146000;;;;;131052000;-12879000;-35272000;;-48160000;;;2176000;2176000;85068000
ACIW;1057787;USD;2018;FY;2018-12-31;2019-03-01;2021-02-25;116057000;117632000;68921000;97350000;21270000;-3609000;;;;;183932000;-43893000;;;-45360000;;-11289000;-31755000;-57704000;78792000
ACIW;1057787;USD;2019;FY;2019-12-31;2020-02-27;2022-02-24;116175000;118571000;67062000;122569000;39860000;-96886000;;;;;132605000;-48014000;;-757268000;-830481000;;703080000;-19041000;668350000;-31021000
ACIW;1057787;USD;2020;FY;2020-12-31;2021-02-25;2023-03-01;116397000;118079000;72660000;140316000;67218000;34701000;;;;;314895000;-46633000;;;-30699000;;-236804000;-13198000;-159889000;124250000
ACIW;1057787;USD;2021;FY;2021-12-31;2022-02-24;2024-02-29;117512000;118540000;127791000;133393000;47030000;-87741000;;;;;220473000;-45368000;;;-45368000;;-109135000;-95076000;-256878000;-81240000
ACIW;1057787;USD;2022;FY;2022-12-31;2023-03-01;2024-02-29;113700000;114238000;142177000;127328000;11529000;-137653000;;;;;143381000;-39893000;;100139000;60246000;;7446000;-198372000;-171060000;30530000
ACLS;670942;USD;2018;FY;2018-12-31;2019-03-11;2021-02-26;32286000;34002000;45885000;5772000;21198000;-25890000;;;;;46965000;-4715000;;;-4715000;;;2605000;1186000;44022000
ACLS;670942;USD;2019;FY;2019-12-31;2020-03-02;2022-02-25;32559000;33828000;17034000;7880000;15089000;-53597000;;;;;-13594000;-11969000;;;-11969000;;;-11776000;-13408000;-38368000
ACLS;670942;USD;2020;FY;2020-12-31;2021-02-26;2023-02-24;33257000;34128000;49982000;9939000;18698000;-8916000;;;;;69703000;-7266000;;;-7266000;;-399000;1927000;-2387000;57698000
ACLS;670942;USD;2021;FY;2021-12-31;2022-02-25;2024-02-23;33537000;34089000;98650000;10818000;36079000;4643000;;;;;150190000;-8718000;;;-8718000;;-763000;-45126000;-52453000;91448000
ACLS;670942;USD;2022;FY;2022-12-31;2023-02-24;2024-02-23;33555000;34268000;183079000;11607000;32531000;-11610000;;;;;215607000;-10683000;;;-257254000;;-987000;-54586000;-65480000;-109333000
ACLX;1342109;USD;2020;FY;2020-12-31;2021-03-24;2022-03-24;33543534;33543534;-32095000;629000;1051000;1753000;;;;;-28662000;-888000;;;-888000;;;42841000;41656000;12106000
